# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  260,20170926,    0
  260,20170927,    0
  260,20170928,   11
  260,20170929,  166
  260,20170930,   24
  260,20171001,   -1
  260,20171002,    6
  260,20171003,   16
  260,20171004,   28
  260,20171005,  252
  260,20171006,   32
  260,20171007,  159
  260,20171008,    1
  260,20171009,  104
  260,20171010,    3
  260,20171011,    2
  260,20171012,    2
  260,20171013,    0
  260,20171014,    0
  260,20171015,    0
  260,20171016,    0
  260,20171017,    0
  260,20171018,    0
  260,20171019,   -1
  260,20171020,   73
  260,20171021,    5
  260,20171022,  132
  260,20171023,    1
  260,20171024,    8
  260,20171025,   -1
  260,20171026,    0
  260,20171027,    4
  260,20171028,   16
  260,20171029,   10
  260,20171030,   -1
  260,20171031,   -1
  260,20171101,    0
  260,20171102,   -1
  260,20171103,    5
  260,20171104,   30
  260,20171105,   48
  260,20171106,    4
  260,20171107,    0
  260,20171108,    0
  260,20171109,   14
  260,20171110,   29
  260,20171111,   37
  260,20171112,   74
  260,20171113,   13
  260,20171114,    4
  260,20171115,   23
  260,20171116,   18
  260,20171117,    0
  260,20171118,   50
  260,20171119,   19
  260,20171120,   97
  260,20171121,   13
  260,20171122,   13
  260,20171123,    8
  260,20171124,   16
  260,20171125,    2
  260,20171126,   57
  260,20171127,  152
  260,20171128,    9
  260,20171129,    1
  260,20171130,    6
  260,20171201,   -1
  260,20171202,   -1
  260,20171203,   20
  260,20171204,   25
  260,20171205,    0
  260,20171206,    0
  260,20171207,   78
  260,20171208,  154
  260,20171209,  125
  260,20171210,  128
  260,20171211,   98
  260,20171212,    5
  260,20171213,  138
  260,20171214,  150
  260,20171215,    2
  260,20171216,   14
  260,20171217,   49
  260,20171218,    8
  260,20171219,   -1
  260,20171220,    3
  260,20171221,    3
  260,20171222,   25
  260,20171223,   -1
  260,20171224,    7
  260,20171225,    4
  260,20171226,   12
  260,20171227,   73
  260,20171228,    7
  260,20171229,   67
  260,20171230,   37
  260,20171231,  393
